ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,estacion_Invierno,estacion_Invierno_lower,estacion_Invierno_upper,estacion_Otoño,estacion_Otoño_lower,estacion_Otoño_upper,estacion_Primavera,estacion_Primavera_lower,estacion_Primavera_upper,estacion_Verano,estacion_Verano_lower,estacion_Verano_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,is_day,is_day_lower,is_day_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-25 10:00:00,12.496771475326598,10.694250745963902,15.81243453012825,12.496771475326598,12.496771475326598,0.7268068482775122,0.7268068482775122,0.7268068482775122,0.5347280820765913,0.5347280820765913,0.5347280820765913,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.18809215379907887,-0.18809215379907887,-0.18809215379907887,0.0,0.0,0.0,13.22357832360411
2025-02-25 11:00:00,12.496150176315632,11.41812154710415,16.797129393574796,12.496150176315632,12.496150176315632,1.6083143172121428,1.6083143172121428,1.6083143172121428,1.42926117293987,1.42926117293987,1.42926117293987,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.20111777572772735,-0.20111777572772735,-0.20111777572772735,0.0,0.0,0.0,14.104464493527775
2025-02-25 12:00:00,12.495528877304666,11.990079548525271,17.361912684640522,12.495528877304666,12.495528877304666,2.196859703796926,2.196859703796926,2.196859703796926,2.0300845044965854,2.0300845044965854,2.0300845044965854,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.21339572069965917,-0.21339572069965917,-0.21339572069965917,0.0,0.0,0.0,14.692388581101593
2025-02-25 13:00:00,12.494907578293702,12.427618702171582,17.74736138062229,12.494907578293702,12.494907578293702,2.4843593476118806,2.4843593476118806,2.4843593476118806,2.329068770100966,2.329068770100966,2.329068770100966,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.22488034248908492,-0.22488034248908492,-0.22488034248908492,0.0,0.0,0.0,14.979266925905582
2025-02-25 14:00:00,12.49428627928274,12.345652743329332,17.59323019687201,12.49428627928274,12.49428627928274,2.598675000264,2.598675000264,2.598675000264,2.4540355791814457,2.4540355791814457,2.4540355791814457,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.235531498917446,-0.235531498917446,-0.235531498917446,0.0,0.0,0.0,15.09296127954674
2025-02-25 15:00:00,12.493664980271776,12.474962686455545,17.81461867816624,12.493664980271776,12.493664980271776,2.642445819298671,2.642445819298671,2.642445819298671,2.5075896479245094,2.5075896479245094,2.5075896479245094,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.24531474862583794,-0.24531474862583794,-0.24531474862583794,0.0,0.0,0.0,15.136110799570446
2025-02-25 16:00:00,12.493043681260811,12.399887069990614,17.80077651967642,12.493043681260811,12.493043681260811,2.577949609065976,2.577949609065976,2.577949609065976,2.4519801830435055,2.4519801830435055,2.4519801830435055,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.25420149397752995,-0.25420149397752995,-0.25420149397752995,0.0,0.0,0.0,15.070993290326788
2025-02-25 17:00:00,12.492422382249847,12.252640757808729,17.311755040558264,12.492422382249847,12.492422382249847,2.2691108676892537,2.2691108676892537,2.2691108676892537,2.1511090172363407,2.1511090172363407,2.1511090172363407,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.2621690695470868,-0.2621690695470868,-0.2621690695470868,0.0,0.0,0.0,14.7615332499391
2025-02-25 18:00:00,12.491801083238881,11.649941264697022,16.798545982871282,12.491801083238881,12.491801083238881,1.6392210037687145,1.6392210037687145,1.6392210037687145,1.5282508600047955,1.5282508600047955,1.5282508600047955,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.26920077623608113,-0.26920077623608113,-0.26920077623608113,0.0,0.0,0.0,14.131022087007596
2025-02-25 19:00:00,12.491179784227917,10.646743706178658,15.760955860017317,12.491179784227917,12.491179784227917,0.7902048546868753,0.7902048546868753,0.7902048546868753,0.6853197963233941,0.6853197963233941,0.6853197963233941,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38017091999999997,0.38017091999999997,0.38017091999999997,0.70911605,0.70911605,0.70911605,-0.2752858616365191,-0.2752858616365191,-0.2752858616365191,0.0,0.0,0.0,13.281384638914792
2025-02-25 20:00:00,12.490558485216951,9.076798502190044,14.4600611094945,12.490558485216951,12.490558485216951,-0.7442916911846273,-0.7442916911846273,-0.7442916911846273,-0.1349271133270784,-0.1349271133270784,-0.1349271133270784,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.2804194478575488,-0.2804194478575488,-0.2804194478575488,0.0,0.0,0.0,11.746266794032323
2025-02-25 21:00:00,12.489937186205987,8.376968581309093,13.700966274029147,12.489937186205987,12.489937186205987,-1.3274593267462123,-1.3274593267462123,-1.3274593267462123,-0.7139117881934882,-0.7139117881934882,-0.7139117881934882,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.28460240855272395,-0.28460240855272395,-0.28460240855272395,0.0,0.0,0.0,11.162477859459775
2025-02-25 22:00:00,12.489315887195023,8.250132880006628,13.60977082065262,12.489315887195023,12.489315887195023,-1.618707186612554,-1.618707186612554,-1.618707186612554,-1.0019208591886255,-1.0019208591886255,-1.0019208591886255,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.2878411974239286,-0.2878411974239286,-0.2878411974239286,0.0,0.0,0.0,10.87060870058247
2025-02-25 23:00:00,12.488694588184059,8.14310165286743,13.359601254360719,12.488694588184059,12.488694588184059,-1.7380314684732487,-1.7380314684732487,-1.7380314684732487,-1.1189387074979575,-1.1189387074979575,-1.1189387074979575,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32894513,-0.32894513,-0.32894513,0.0,0.0,0.0,-0.2901476309752914,-0.2901476309752914,-0.2901476309752914,0.0,0.0,0.0,10.75066311971081
